year,quarter,operating_margin
2020,Q4,0.05931399975133657
2021,Q1,0.06626822226994011
2021,Q2,0.06684893683255959
2021,Q3,0.06177764676339895
2021,Q4,0.052954097509269465
2022,Q1,0.04119954452975209
2022,Q2,0.03148371482315364
2022,Q3,0.02582881811900253
2022,Q4,0.02345991988061862
2023,Q1,0.025077300879982167
2023,Q2,0.03257528166736673
2023,Q3,0.047271979033550654
2023,Q4,0.0641144079960333
2024,Q1,0.08021295324508244
2024,Q2,0.09013724198870161
2024,Q3,0.09787656741833944
2024,Q4,0.10767149613062908
2025,Q1,0.11038991993086406
2025,Q2,0.11370996868834304
2025,Q3,0.11022377157074045
