year,quarter,eps_diluted
2020,Q4,8.483004194052144
2021,Q1,10.754359635529102
2021,Q2,11.481899779654041
2021,Q3,13.208628522933083
2021,Q4,14.35962148849265
2022,Q1,12.889357201790009
2022,Q2,13.90909302474316
2022,Q3,13.940376926157754
2022,Q4,14.15801837665008
2023,Q1,17.38016317055238
2023,Q2,18.768697023810358
2023,Q3,19.287725799134677
2023,Q4,19.89218229897121
2024,Q1,18.046739806667787
2024,Q2,17.128478272473163
2024,Q3,17.594893223087617
2024,Q4,19.23701764553804
2025,Q1,22.128559428621603
2025,Q2,25.008967632480136
2025,Q3,25.214473214045242
