year,quarter,operating_margin
2020,Q4,0.2898328850226063
2021,Q1,0.3260846324606803
2021,Q2,0.33255805545847844
2021,Q3,0.348029866607008
2021,Q4,0.36269410563645155
2022,Q1,0.33597278069904113
2022,Q2,0.33287654102272846
2022,Q3,0.32478914074855036
2022,Q4,0.3070220181926379
2023,Q1,0.32483227531453507
2023,Q2,0.3299183973392118
2023,Q3,0.32800158494600345
2023,Q4,0.3281129234174574
2024,Q1,0.3152480815866801
2024,Q2,0.3065818227553571
2024,Q3,0.307164282637944
2024,Q4,0.31923829472559434
2025,Q1,0.3375973484749824
2025,Q2,0.3629105222411879
2025,Q3,0.36320625853719113
