year,quarter,eps_diluted
2021,Q1,17.101795588865016
2021,Q2,10.058009785092032
2021,Q3,9.160883499172389
2021,Q4,28.128778037550603
2022,Q1,12.364994110843668
2022,Q2,37.50744144134151
2022,Q3,60.90191519433597
2022,Q4,77.86864014534709
2023,Q1,101.97790445210495
2023,Q2,115.80209071975969
2023,Q3,143.58187505264456
2023,Q4,117.98002893580701
2024,Q1,133.33614219510633
2024,Q2,142.82404947669824
2024,Q3,147.3755715171894
2024,Q4,173.0238683661393
2025,Q1,160.72717311895312
2025,Q2,143.7784416232351
2025,Q3,153.85494185491018
2025,Q4,165.65510654441243
