year,quarter,eps_diluted
2020,Q4,2.9348964752986966
2021,Q1,3.7555360320427584
2021,Q2,4.611986699196975
2021,Q3,5.191573959178397
2021,Q4,5.6115462209307925
2022,Q1,5.528233878223334
2022,Q2,5.374025370754628
2022,Q3,5.036582790804624
2022,Q4,4.554135041373954
2023,Q1,4.496817790194799
2023,Q2,4.7448529338453636
2023,Q3,5.233581052075587
2023,Q4,5.822855777238778
2024,Q1,6.53798550395413
2024,Q2,6.971524363228507
2024,Q3,7.538524326392456
2024,Q4,8.045971481159928
2025,Q1,8.967277777191285
2025,Q2,9.388528146497887
2025,Q3,10.137151069304988
