year,quarter,operating_margin
2020,Q4,0.22585151785763202
2021,Q1,0.25261081339420993
2021,Q2,0.2844845980977459
2021,Q3,0.302997366330839
2021,Q4,0.3055228868524319
2022,Q1,0.30470085153920706
2022,Q2,0.2964812557749902
2022,Q3,0.27849478754966983
2022,Q4,0.2646127084246701
2023,Q1,0.2535486908492966
2023,Q2,0.2574784738076406
2023,Q3,0.2650539154315254
2023,Q4,0.27421810445226646
2024,Q1,0.2902755338743847
2024,Q2,0.29833010442178115
2024,Q3,0.30929002910030334
2024,Q4,0.32109777211457696
2025,Q1,0.32671602082771545
2025,Q2,0.32679140223856284
2025,Q3,0.3218791263810811
