year,quarter,operating_margin
2021,Q1,0.5222373276364343
2021,Q2,0.5228966346153846
2021,Q3,0.5235552057566899
2021,Q4,0.5338911247617031
2022,Q1,0.5445818254925613
2022,Q2,0.5517373592139947
2022,Q3,0.550332778702163
2022,Q4,0.5515132436929442
2023,Q1,0.5456218774651591
2023,Q2,0.5548113607460788
2023,Q3,0.5671605039602742
2023,Q4,0.5581321220814408
2024,Q1,0.5633123200249046
2024,Q2,0.562940507768094
2024,Q3,0.5515316241827665
2024,Q4,0.5532005538395995
2025,Q1,0.5547834462829818
2025,Q2,0.5577857875070269
2025,Q3,0.5695176971468514
2025,Q4,0.5916562471409839
