year,quarter,operating_margin
2021,Q1,0.21169156286456847
2021,Q2,0.22028495924145822
2021,Q3,0.22760410307446996
2021,Q4,0.20858446828665408
2022,Q1,0.20413827506438734
2022,Q2,0.19132450570794535
2022,Q3,0.18157565505341675
2022,Q4,0.17816647187855345
2023,Q1,0.16846262244789809
2023,Q2,0.175071403789887
2023,Q3,0.18348609339078156
2023,Q4,0.2062076848535895
2024,Q1,0.22535690102156078
2024,Q2,0.23820560037569163
2024,Q3,0.25649521628035954
2024,Q4,0.26711169154117875
2025,Q1,0.2771012468048763
2025,Q2,0.2951066604821225
2025,Q3,0.28122347831048633
2025,Q4,0.28508363458074537
